Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,LAU_CFM,BA4_CFM,CDR_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-02-07 19:27:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:28:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:29:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:30:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:31:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:32:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:33:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:34:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:35:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:36:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:37:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:38:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:39:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:40:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:41:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:42:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:43:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:44:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:45:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:46:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:47:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:48:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:49:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:50:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:51:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:52:00,95,0,0,100,111,0,NA,NA,306,0,0,306,50.9905268,313.2832012,1.167442523
2017-02-07 19:53:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 19:54:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
