Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-17 07:21:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:22:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:23:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:24:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:25:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:26:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:27:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:28:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:29:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:30:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:31:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:32:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:33:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:34:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:35:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:36:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:37:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
2016-10-17 07:38:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.5173779034002,114.508720058489,0.221629780758366
