Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-02-20 19:29:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:30:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:31:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:32:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:33:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:34:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:35:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:36:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:37:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:38:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:39:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:40:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:41:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:42:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:43:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:44:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:45:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:46:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:47:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:48:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:49:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:50:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:51:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:52:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:53:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:54:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:55:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:56:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:57:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:58:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 19:59:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:00:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:01:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:02:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:03:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:04:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:05:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:06:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:07:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:08:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:09:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:10:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:11:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:12:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:13:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:14:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:15:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:16:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:17:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:18:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:19:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:20:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:21:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:22:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:23:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:24:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:25:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:26:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:27:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:28:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:29:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:30:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:31:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:32:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:33:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:34:00,0,0,0,0,102,0,0,102,0,0,102,69.7832629938619,130.347952583975,0.245130141201645
2018-02-20 20:35:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:36:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:37:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:38:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:39:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:40:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
2018-02-20 20:41:00,0,0,0,0,102,0,0,102,0,0,102,69.42843010886,130.118480139612,0.244698599228231
