Time,BA1_CFM,BA2_CFM,TO1_CFM,BA3_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-05-12 19:03:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:04:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:05:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:06:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:07:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:08:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:09:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:10:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:11:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:12:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:13:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:14:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:15:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:16:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.22417173,112.0335798,0.373258637
2017-05-12 19:17:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.08571455,111.9646128,0.373028861
2017-05-12 19:18:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.08571455,111.9646128,0.373028861
2017-05-12 19:19:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.08571455,111.9646128,0.373028861
2017-05-12 19:20:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.08571455,111.9646128,0.373028861
