Time,BA1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-29 18:54:00,0,0,112,119,0,231,0,0,231,24.1916659285809,233.293322151688,0.942028355145114
2017-06-29 18:55:00,0,0,112,119,0,231,0,0,231,19.8381296088682,232.568945626376,0.939103354033419
2017-06-29 18:56:00,0,0,112,119,0,231,0,0,231,19.8381296088682,232.568945626376,0.939103354033419
2017-06-29 18:57:00,0,0,112,119,0,231,0,0,231,19.8381296088682,232.568945626376,0.939103354033419
2017-06-29 18:58:00,0,0,112,90,0,202,0,0,202,19.9775396445574,203.797939065767,0.822927272625751
2017-06-29 18:59:00,0,0,112,119,0,231,0,0,231,19.9775396445574,232.590190464115,0.939189139770302
2017-06-29 19:00:00,0,0,112,119,0,231,0,0,231,20.1167110725018,232.611529804791,0.939275307105961
2017-06-29 19:01:00,0,0,112,64,0,176,0,0,176,20.1167110725018,178.063475683237,0.719012621373862
2017-06-29 19:02:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:03:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:04:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:05:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:06:00,0,0,112,0,0,112,0,0,112,20.2556389056911,115.102256439669,0.464777938379444
2017-06-29 19:07:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:08:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:09:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:10:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:11:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:12:00,0,0,112,0,0,112,0,0,112,20.1167110725018,115.063064930162,0.464619684757367
2017-06-29 19:13:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:14:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:15:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
2017-06-29 19:16:00,0,0,112,0,0,112,0,0,112,19.9775396445574,115.024015232628,0.46446200376591
