Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,KIT_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-09-18 19:30:00,0,0,0,0,98,120,76,0,294,0,0,294,44.5011590783183,299.850358576928,0.768847073274173
2017-09-18 19:31:00,0,0,0,0,98,120,76,0,294,0,0,294,44.2786906394686,299.795820129963,0.768707231102469
2017-09-18 19:32:00,0,0,0,0,98,120,76,0,294,0,0,294,43.8352726000373,299.687775314671,0.768430193114541
2017-09-18 19:33:00,0,0,0,0,98,120,76,0,294,0,0,294,43.8352726000373,299.687775314671,0.768430193114541
2017-09-18 19:34:00,0,0,0,0,98,120,76,0,294,0,0,294,43.6143879640632,299.634282498891,0.768293032048439
2017-09-18 19:35:00,0,0,0,0,98,120,76,0,294,0,0,294,43.6143879640632,299.634282498891,0.768293032048439
2017-09-18 19:36:00,0,0,0,0,98,120,160,0,378,0,0,378,43.3940988994593,382.468614591932,0.980688755363927
2017-09-18 19:37:00,0,0,0,0,98,120,76,0,294,0,0,294,42.9554558842132,299.47600924098,0.767887203182
2017-09-18 19:38:00,0,0,0,0,98,120,160,0,378,0,0,378,42.9554558842132,382.383293206985,0.980469982582013
2017-09-18 19:39:00,0,0,0,0,98,120,160,0,378,0,0,378,42.7371808736805,382.341110584135,0.980361822010601
2017-09-18 19:40:00,0,0,0,0,98,120,160,0,378,0,0,378,42.9554558842132,382.383293206985,0.980469982582013
2017-09-18 19:41:00,0,0,0,0,98,120,160,0,378,0,0,378,42.9554558842132,382.383293206985,0.980469982582013
2017-09-18 19:42:00,0,0,0,0,98,120,0,0,218,0,0,218,43.1744420438973,225.137116599979,0.577274657948665
2017-09-18 19:43:00,0,0,0,0,98,120,0,0,218,0,0,218,43.3940988994593,225.203865072793,0.577445807878957
2017-09-18 19:44:00,0,0,0,0,98,120,0,0,218,0,0,218,43.6143879640632,225.271063538528,0.577618111637251
2017-09-18 19:45:00,0,0,0,0,98,120,0,0,218,0,0,218,43.6143879640632,225.271063538528,0.577618111637251
2017-09-18 19:46:00,0,0,0,0,98,120,0,0,218,0,0,218,43.8352726000373,225.338702325469,0.577791544424278
2017-09-18 19:47:00,0,0,0,0,98,120,0,0,218,0,0,218,44.056717910565,225.406772123711,0.577966082368489
