Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-08-21 19:10:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:11:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:12:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:13:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:14:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:15:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:16:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:17:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:18:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:19:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:20:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:21:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:22:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:23:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:24:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:25:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:26:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:27:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:28:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:29:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:30:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:31:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:32:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:33:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:34:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:35:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:36:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:37:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:38:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:39:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:40:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:41:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:42:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:43:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:44:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:45:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:46:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:47:00,0,0,0,0,0,109,0,0,109,0,0,109,46.5834101973431,122.947593145448,0.258112511851886
2017-08-21 19:48:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:49:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:50:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:51:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:52:00,0,0,0,0,0,109,0,0,109,0,0,109,46.9654766023094,123.14259129991,0.258521885164261
2017-08-21 19:53:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 19:54:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 19:55:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
