Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,BA5_CFM,BA6_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-09-20 19:30:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:31:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:32:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:33:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:34:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:35:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:36:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:37:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,26.95853654,195.2300687,0.278767352
2016-09-20 19:38:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:39:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:40:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:41:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:42:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:43:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:44:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:45:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.79072528,197.0286189,0.281335486
2016-09-20 19:46:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.99274471,197.108245,0.281449184
2016-09-20 19:47:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.99274471,197.108245,0.281449184
2016-09-20 19:48:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.99274471,197.108245,0.281449184
2016-09-20 19:49:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.99274471,197.108245,0.281449184
2016-09-20 19:50:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.99274471,197.108245,0.281449184
2016-09-20 19:51:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.79072528,197.0286189,0.281335486
2016-09-20 19:52:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.79072528,197.0286189,0.281335486
2016-09-20 19:53:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.79072528,197.0286189,0.281335486
2016-09-20 19:54:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.79072528,197.0286189,0.281335486
2016-09-20 19:55:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 19:56:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 19:57:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 19:58:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 19:59:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 20:00:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 20:01:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 20:02:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.3849869,196.8697388,0.281108623
2016-09-20 20:03:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 20:04:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 20:05:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 20:06:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,31.5881413,196.9491161,0.281221965
2016-09-20 20:07:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.5881413,210.5360947,0.300622696
2016-09-20 20:08:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.5881413,210.5360947,0.300622696
2016-09-20 20:09:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.79072528,210.7139822,0.3008767
2016-09-20 20:10:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.79072528,210.7139822,0.3008767
2016-09-20 20:11:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.79072528,210.7139822,0.3008767
2016-09-20 20:12:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.79072528,210.7139822,0.3008767
2016-09-20 20:13:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.79072528,210.7139822,0.3008767
2016-09-20 20:14:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.5881413,210.5360947,0.300622696
2016-09-20 20:15:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.5881413,210.5360947,0.300622696
2016-09-20 20:16:00,95,0,0,0,0,78,0,0,0,0,173,190,173,17,31.3849869,210.357914,0.300368273
2016-09-20 20:17:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.3849869,197.7937849,0.28242806
2016-09-20 20:18:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.3849869,197.7937849,0.28242806
2016-09-20 20:19:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:20:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:21:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:22:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:23:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:24:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:25:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:26:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:27:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:28:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.1812561,197.7053499,0.282301785
2016-09-20 20:29:00,95,0,0,0,0,0,0,0,0,0,95,190,95,95,31.3849869,197.7937849,0.28242806
2016-09-20 20:30:00,95,68,0,0,0,0,0,0,0,0,163,190,163,27,31.3849869,206.8710735,0.295389443
2016-09-20 20:31:00,95,68,0,0,0,0,0,0,0,0,163,190,163,27,31.3849869,206.8710735,0.295389443
2016-09-20 20:32:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.3849869,196.4218632,0.280469105
2016-09-20 20:33:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.3849869,196.4218632,0.280469105
2016-09-20 20:34:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.5881413,196.4966648,0.280575914
2016-09-20 20:35:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.5881413,196.4966648,0.280575914
2016-09-20 20:36:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.5881413,196.4966648,0.280575914
2016-09-20 20:37:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.5881413,196.4966648,0.280575914
2016-09-20 20:38:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.5881413,196.4966648,0.280575914
2016-09-20 20:39:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
2016-09-20 20:40:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
2016-09-20 20:41:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
2016-09-20 20:42:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
2016-09-20 20:43:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
2016-09-20 20:44:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,31.79072528,196.571594,0.280682905
