Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-25 21:21:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:22:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:23:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:24:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:25:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:26:00,0,0,0,0,0,0,0,0,0,100,0,100,11.84812234,101.255077,0.21881162
2016-10-25 21:27:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:28:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:29:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:30:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:31:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:32:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:33:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:34:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:35:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:36:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:37:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:38:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:39:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:40:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:41:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:42:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:43:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:44:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:45:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:46:00,0,0,0,0,0,0,0,0,0,100,0,100,12.07406304,101.3007737,0.21891037
2016-10-25 21:47:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:48:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:49:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:50:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:51:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:52:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:53:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:54:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:55:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:56:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
2016-10-25 21:57:00,0,0,0,0,0,0,0,0,0,100,0,100,20.74458874,103.5640352,0.223801265
