Time,BA1_CFM,TO1_CFM,BA2_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-08-17 20:10:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:11:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:12:00,0,0,0,0,0,0,0,0,0,0,0,14.3738768723435,14.3738768723435,0.0292350038081563
2016-08-17 20:13:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:14:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:15:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:16:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:17:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:18:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:19:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:20:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:21:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:22:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:23:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:24:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:25:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:26:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:27:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:28:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:29:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:30:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:31:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:32:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:33:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:34:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:35:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:36:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:37:00,0,0,0,0,0,0,0,0,0,0,0,14.3738768723435,14.3738768723435,0.0292350038081563
2016-08-17 20:38:00,0,0,0,0,0,0,0,0,0,0,0,14.3738768723435,14.3738768723435,0.0292350038081563
2016-08-17 20:39:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:40:00,0,0,0,0,0,0,0,0,0,0,0,14.0921806942174,14.0921806942174,0.0286620624289167
2016-08-17 20:41:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:42:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:43:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:44:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:45:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:46:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:47:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:48:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:49:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:50:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:51:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:52:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:53:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 20:54:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 20:55:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 20:56:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 20:57:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 20:58:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 20:59:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:00:00,0,0,0,0,0,0,0,0,0,0,0,25.7946777229682,25.7946777229682,0.0524637513009523
2016-08-17 21:01:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:02:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:03:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:04:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:05:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:06:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:07:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:08:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:09:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:10:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:11:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:12:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:13:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:14:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:15:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:16:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:17:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:18:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:19:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:20:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:21:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:22:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:23:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:24:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:25:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:26:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:27:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:28:00,0,0,0,0,0,0,0,0,0,0,0,25.7946777229682,25.7946777229682,0.0524637513009523
2016-08-17 21:29:00,0,0,0,0,0,0,0,0,0,0,0,25.7946777229682,25.7946777229682,0.0524637513009523
2016-08-17 21:30:00,0,0,0,0,0,0,0,0,0,0,0,25.5044301830703,25.5044301830703,0.0518734173214989
2016-08-17 21:31:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:32:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:33:00,0,0,0,0,0,0,0,0,0,0,0,24.0484905391798,24.0484905391798,0.0489121841474843
2016-08-17 21:34:00,0,0,0,0,0,0,0,0,0,0,0,24.0484905391798,24.0484905391798,0.0489121841474843
2016-08-17 21:35:00,0,0,0,0,0,0,0,0,0,0,0,24.0484905391798,24.0484905391798,0.0489121841474843
2016-08-17 21:36:00,0,0,0,0,0,0,0,0,0,0,0,24.0484905391798,24.0484905391798,0.0489121841474843
2016-08-17 21:37:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:38:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:39:00,0,0,0,0,0,0,0,0,0,0,0,24.3400610456836,24.3400610456836,0.0495052089064751
2016-08-17 21:40:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:41:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:42:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:43:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:44:00,0,0,0,0,0,0,0,0,0,0,0,24.6315224358949,24.6315224358949,0.0500980117340235
2016-08-17 21:45:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:46:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
