Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH,
2017-11-07 19:31:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:32:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:33:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:34:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:35:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:36:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:37:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:38:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:39:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:40:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:41:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:42:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:43:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:44:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:45:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:46:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:47:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:48:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:49:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:50:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:51:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:52:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:53:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:54:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:55:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:56:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:57:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:58:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 19:59:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:00:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:01:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:02:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:03:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:04:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:05:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:06:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:07:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:08:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:09:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:10:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:11:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:12:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:13:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:14:00,0,0,0,0,73,0,125,198,0,0,198,46.90409746,206.9830851,0.522288885,
2017-11-07 20:15:00,0,0,0,0,73,0,125,198,0,0,198,46.90409746,206.9830851,0.522288885,
2017-11-07 20:16:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:17:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:18:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:19:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:20:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:21:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:22:00,0,0,0,0,73,0,0,73,0,0,73,46.90409746,91.34794978,0.230502018,
2017-11-07 20:23:00,0,0,0,0,73,0,0,73,0,0,73,47.20557857,91.53796367,0.230981488,
2017-11-07 20:24:00,0,0,0,0,73,0,0,73,0,0,73,47.20557857,91.53796367,0.230981488,
2017-11-07 20:25:00,0,0,0,0,73,0,0,73,0,0,73,47.20557857,91.53796367,0.230981488,
2017-11-07 20:26:00,0,0,0,0,73,0,0,73,0,0,73,47.20557857,91.53796367,0.230981488,
2017-11-07 20:27:00,0,0,0,0,73,0,0,73,0,0,73,47.50603809,91.72788858,0.231460733,
2017-11-07 20:28:00,0,0,0,0,73,0,125,198,0,0,198,47.50603809,207.1925383,0.522817407,
2017-11-07 20:29:00,0,0,0,0,73,0,0,73,0,0,73,47.50603809,91.72788858,0.231460733,
2017-11-07 20:30:00,0,0,0,0,73,0,0,73,0,0,73,47.50603809,91.72788858,0.231460733,
2017-11-07 20:31:00,0,0,0,0,73,0,125,198,0,0,198,47.50603809,207.1925383,0.522817407,
2017-11-07 20:32:00,0,0,0,0,73,0,0,73,0,0,73,47.50603809,91.72788858,0.231460733,
2017-11-07 20:33:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:34:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:35:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:36:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:37:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:38:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:39:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:40:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:41:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:42:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:43:00,0,0,0,0,73,0,125,198,0,0,198,47.80548929,207.2974523,0.52308214,
2017-11-07 20:44:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:45:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:46:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:47:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:48:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:49:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:50:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
2017-11-07 20:51:00,0,0,0,0,73,0,0,73,0,0,73,47.80548929,91.91772319,0.231939751,
