Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,TO2_CFM,TO3_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-30 01:18:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:19:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:20:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:21:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:22:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:23:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:24:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:25:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:26:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:27:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:28:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:29:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:30:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:31:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:32:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:33:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:34:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:35:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:36:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:37:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:38:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:39:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:40:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:41:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,104.78561668731,159.601351799427,0.194833796703268
2017-11-30 01:42:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:43:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:44:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:45:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:46:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,104.78561668731,159.601351799427,0.194833796703268
2017-11-30 01:47:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:48:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:49:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:50:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,105.257547310197,159.951977341477,0.195261823814621
2017-11-30 01:51:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,104.78561668731,159.601351799427,0.194833796703268
2017-11-30 01:52:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,104.78561668731,159.601351799427,0.194833796703268
2017-11-30 01:53:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:54:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:55:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:56:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:57:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:58:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 01:59:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:00:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:01:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:02:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:03:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:04:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:05:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:06:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:07:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:08:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:09:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:10:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:11:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:12:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:13:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:14:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:15:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:16:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:17:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:18:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:19:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.486371058605,163.871852008679,0.200047021780687
2017-11-30 02:20:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:21:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:22:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:23:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:24:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:25:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:26:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:27:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:28:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:29:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:30:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:31:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:32:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:33:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:34:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:35:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:36:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:37:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:38:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:39:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.023629177389,163.522417561055,0.199620448701186
2017-11-30 02:40:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:41:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:42:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:43:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:44:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:45:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:46:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:47:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:48:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:49:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:50:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:51:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:52:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,109.560099023407,163.172871091253,0.199193738870299
2017-11-30 02:53:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:54:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:55:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:56:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:57:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:58:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 02:59:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:00:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:01:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:02:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:03:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:04:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:05:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:06:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:07:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:08:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:09:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.869926256462,164.919473316367,0.201325908422828
2017-11-30 03:10:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:11:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:12:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:13:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:14:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:15:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:16:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:17:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:18:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:19:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:20:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:21:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:22:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:23:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:24:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:25:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:26:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:27:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:28:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,111.40951375799,164.570380851773,0.200899752820068
2017-11-30 03:29:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:30:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:31:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:32:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
2017-11-30 03:33:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,110.948330625751,164.221173431469,0.200473456884804
