Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-13 02:07:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:08:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:09:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:10:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:11:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:12:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:13:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:14:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:15:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:16:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:17:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:18:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:19:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:20:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:21:00,54,0,0,54,0,0,54,27.2102744073908,63.117061095143,0.701300678834922
2017-11-13 02:22:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:23:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
2017-11-13 02:24:00,54,0,0,54,0,0,54,27.0490264413076,63.0272500922931,0.700302778803256
