Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-09-06 13:59:00,0,0,0,0,90,0,0,0,90,0,0,90,76.5585272751051,125.190081195015,0.278200180433366
2017-09-06 14:00:00,0,0,0,0,90,0,0,0,90,0,0,90,76.5585272751051,125.190081195015,0.278200180433366
2017-09-06 14:01:00,0,0,0,0,90,0,0,0,90,0,0,90,76.5585272751051,125.190081195015,0.278200180433366
2017-09-06 14:02:00,0,0,0,0,90,0,0,0,90,0,0,90,76.5585272751051,125.190081195015,0.278200180433366
2017-09-06 14:03:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:04:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:05:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:06:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:07:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:08:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:09:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:10:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:11:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:12:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:13:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:14:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:15:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:16:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:17:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:18:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:19:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:20:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:21:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:22:00,0,0,0,0,90,0,0,0,90,0,0,90,76.3029122351356,125.00921503606,0.277798255635688
2017-09-06 14:23:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:24:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:25:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:26:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:27:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:28:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:29:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:30:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:31:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:32:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:33:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:34:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:35:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:36:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:37:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:38:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:39:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:40:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:41:00,0,0,0,0,90,0,0,0,90,0,0,90,76.0469390854856,124.828326111415,0.277396280247589
2017-09-06 14:42:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:43:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:44:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:45:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:46:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:47:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:48:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:49:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:50:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:51:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:52:00,0,0,0,0,90,0,0,0,90,0,0,90,75.7906089728019,124.647417269639,0.276994260599197
2017-09-06 14:53:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:54:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:55:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:56:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:57:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:58:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 14:59:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 15:00:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 15:01:00,0,0,0,0,90,0,0,0,90,0,0,90,80.626658359266,128.098724435511,0.284663832078914
2017-09-06 15:02:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:03:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:04:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:05:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:06:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:07:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:08:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:09:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:10:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:11:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:12:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:13:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:14:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:15:00,0,0,0,0,90,0,0,0,90,0,0,90,80.3854164449508,127.92469632585,0.284277102946332
2017-09-06 15:16:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:17:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:18:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:19:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:20:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:21:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:22:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:23:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:24:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:25:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:26:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:27:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:28:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:29:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:30:00,0,0,0,0,90,0,0,0,90,0,0,90,80.1439376718472,127.750688231613,0.283890418292474
2017-09-06 15:31:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:32:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:33:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:34:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:35:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:36:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:37:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:38:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:39:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:40:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:41:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:42:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:43:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:44:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:45:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:46:00,0,0,0,0,90,0,0,0,90,0,0,90,79.6602804052802,127.402745410353,0.283117212023008
2017-09-06 15:47:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:48:00,0,0,0,0,90,0,0,0,90,0,0,90,79.9022247197434,127.576703458095,0.283503785462433
2017-09-06 15:49:00,0,0,0,0,90,0,0,0,90,0,0,90,79.6602804052802,127.402745410353,0.283117212023008
2017-09-06 15:50:00,0,0,0,0,90,0,0,0,90,0,0,90,79.6602804052802,127.402745410353,0.283117212023008
2017-09-06 15:51:00,0,0,0,0,90,0,0,0,90,0,0,90,79.6602804052802,127.402745410353,0.283117212023008
2017-09-06 15:52:00,0,0,0,0,90,0,0,0,90,0,0,90,79.6602804052802,127.402745410353,0.283117212023008
2017-09-06 15:53:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:54:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:55:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:56:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:57:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:58:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 15:59:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:00:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:01:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:02:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:03:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:04:00,0,0,0,0,90,0,0,0,90,0,0,90,92.6927314704937,137.029470731017,0.304509934957815
2017-09-06 16:05:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:06:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:07:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:08:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:09:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:10:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:11:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:12:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:13:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:14:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:15:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:16:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:17:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:18:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:19:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:20:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:21:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:22:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:23:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:24:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:25:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:26:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:27:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:28:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:29:00,0,0,0,0,90,0,0,0,90,0,0,90,92.4904118886359,136.876305460639,0.304169567690309
2017-09-06 16:30:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:31:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:32:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:33:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:34:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:35:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:36:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:37:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:38:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:39:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:40:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:41:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:42:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:43:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:44:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:45:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:46:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:47:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:48:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:49:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:50:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:51:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:52:00,0,0,0,0,90,0,0,0,90,0,0,90,92.2881548793949,136.72329662165,0.30382954804811
2017-09-06 16:53:00,0,0,0,0,90,0,0,0,90,0,0,90,89.848515735494,134.886418699969,0.299747597111042
2017-09-06 16:54:00,0,0,0,0,90,0,0,0,90,0,0,90,90.0494187856647,135.037067480285,0.30008237217841
2017-09-06 16:55:00,0,0,0,0,90,0,0,0,90,0,0,90,89.848515735494,134.886418699969,0.299747597111042
