Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-07-12 20:02:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:03:00,94,0,94,0,0,79,0,267,0,0,267,51.474771372782,275.319817850748,0.442992466372885
2017-07-12 20:04:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:05:00,94,0,94,0,0,0,0,188,0,0,188,51.7667703163092,199.176688518789,0.320477374929669
2017-07-12 20:06:00,94,0,94,0,0,0,0,188,0,0,188,51.7667703163092,199.176688518789,0.320477374929669
2017-07-12 20:07:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:08:00,0,0,94,0,0,0,0,94,0,0,94,52.0597751867706,112.555555005007,0.18110306517298
2017-07-12 20:09:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:10:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:11:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:12:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:13:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:14:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:15:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:16:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:17:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:18:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:19:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:20:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:21:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:22:00,0,0,94,0,0,0,0,94,0,0,94,51.1838808845823,112.044631721133,0.180280984265701
2017-07-12 20:23:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:24:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:25:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:26:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
2017-07-12 20:27:00,94,0,94,0,0,0,0,188,0,0,188,51.7667703163092,199.176688518789,0.320477374929669
2017-07-12 20:28:00,94,0,94,0,0,0,0,188,0,0,188,51.7667703163092,199.176688518789,0.320477374929669
2017-07-12 20:29:00,94,0,94,0,0,0,0,188,0,0,188,51.7667703163092,199.176688518789,0.320477374929669
2017-07-12 20:30:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:31:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:32:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:33:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:34:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:35:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:36:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:37:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:38:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:39:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:40:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 20:41:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:42:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:43:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:44:00,0,0,94,0,0,0,0,94,0,0,94,51.7667703163092,112.384152322003,0.1808272764634
2017-07-12 20:45:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:46:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:47:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:48:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
2017-07-12 20:49:00,94,0,94,0,0,0,0,188,0,0,188,52.0597751867706,199.289772267713,0.320659327864382
