Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-28 02:09:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:10:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:11:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:12:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:13:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:14:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:15:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:16:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:17:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:18:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:19:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:20:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:21:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:22:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:23:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:24:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:25:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:26:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:27:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:28:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
2017-06-28 02:29:00,0,0,0,0,0,108,0,0,108,0,0,108,63.1271434998968,131.286990976151,0.157702091262644
2017-06-28 02:30:00,0,0,0,0,0,108,0,0,108,0,0,108,63.5278000334756,131.528438983684,0.157992118899321
