Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-03-23 19:05:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:06:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:07:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:08:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:09:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:10:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:11:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:12:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:13:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:14:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:15:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:16:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:17:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:18:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:19:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:20:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:21:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:22:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:23:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:24:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:25:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:26:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:27:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:28:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:29:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:30:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:31:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:32:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:33:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:34:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.2788391,162.5365128,0.231423617
2017-03-23 19:35:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:36:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:37:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:38:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:39:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:40:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:41:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:42:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:43:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,73.2788391,182.1178539,0.259304028
2017-03-23 19:44:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,72.71764472,181.8202555,0.2588803
2017-03-23 19:45:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,72.71764472,181.8202555,0.2588803
2017-03-23 19:46:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,72.71764472,181.8202555,0.2588803
2017-03-23 19:47:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,72.71764472,181.8202555,0.2588803
2017-03-23 19:48:00,0,0,0,22,0,0,137,0,NA,159,0,0,159,72.71764472,181.8202555,0.2588803
2017-03-23 19:49:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:50:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:51:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:52:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:53:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:54:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:55:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:56:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:57:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:58:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
2017-03-23 19:59:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.71764472,162.2141677,0.230964654
